TIME,SENSOR ID,DATE TIME,VALUES
,107,2020-07-01 10:23:26,-16.32
,108,2020-07-01 10:23:26,-15.39
,110,2020-07-01 10:23:26,-15.55
,111,2020-07-01 10:23:26,-15.11
,112,2020-07-01 10:23:26,-17.76
,113,2020-07-01 10:23:26,-13.99
,114,2020-07-01 10:23:26,-15.13
,115,2020-07-01 10:23:26,-16.44
,116,2020-07-01 10:23:26,-14.30
,117,2020-07-01 10:23:26,-15.88
,118,2020-07-01 10:23:26,-16.32
15,101,2020-07-01 10:25:35,-17.65
,102,2020-07-01 10:25:35,-15.65
,103,2020-07-01 10:25:35,-12.11
,104,2020-07-01 10:25:35,-15.59
,105,2020-07-01 10:25:35,-15.98
,106,2020-07-01 10:25:35,-13.00
,108,2020-07-01 10:25:35,-14.96
,107,2020-07-01 10:25:35,-16.44
,109,2020-07-01 10:25:35,-12.11
,110,2020-07-01 10:25:35,-14.99
,111,2020-07-01 10:25:35,-15.11
,114,2020-07-01 10:25:35,-15.50
,115,2020-07-01 10:25:35,-16.65
,116,2020-07-01 10:25:35,-14.30
,112,2020-07-01 10:25:35,-17.88
,113,2020-07-01 10:25:35,-13.99
,117,2020-07-01 10:25:35,-15.98
,118,2020-07-01 10:25:35,-16.44
16,102,2020-07-01 10:27:06,-15.65
,101,2020-07-01 10:27:06,-17.65
,103,2020-07-01 10:27:06,-12.11
,104,2020-07-01 10:27:06,-15.05
,109,2020-07-01 10:27:06,-12.11
,105,2020-07-01 10:27:06,-15.98
,107,2020-07-01 10:27:06,-16.44
,106,2020-07-01 10:27:06,-13.00
,108,2020-07-01 10:27:06,-14.95
,110,2020-07-01 10:27:06,-15.30
,111,2020-07-01 10:27:06,-15.21
,112,2020-07-01 10:27:06,-17.88
,113,2020-07-01 10:27:06,-13.99
,114,2020-07-01 10:27:06,-14.67
,115,2020-07-01 10:27:06,-16.65
,116,2020-07-01 10:27:06,-14.30
,117,2020-07-01 10:27:06,-14.00
,118,2020-07-01 10:27:06,-16.44
17,101,2020-07-01 10:28:36,-17.76
,102,2020-07-01 10:28:36,-15.76
,103,2020-07-01 10:28:36,-12.11
,104,2020-07-01 10:28:36,-14.91
,109,2020-07-01 10:28:36,-12.22
,105,2020-07-01 10:28:36,-15.98
,106,2020-07-01 10:28:36,-13.00
,107,2020-07-01 10:28:36,-16.55
,108,2020-07-01 10:28:36,-14.93
,110,2020-07-01 10:28:36,-14.97
,111,2020-07-01 10:28:36,-15.32
,112,2020-07-01 10:28:36,-17.98
,113,2020-07-01 10:28:36,-13.99
,114,2020-07-01 10:28:36,-15.23
,115,2020-07-01 10:28:36,-16.65
,116,2020-07-01 10:28:36,-14.30
,117,2020-07-01 10:28:36,-14.00
,118,2020-07-01 10:28:36,-16.55
18,101,2020-07-01 10:30:06,-17.88
,102,2020-07-01 10:30:06,-15.88
,103,2020-07-01 10:30:06,-12.11
,104,2020-07-01 10:30:06,-14.74
,106,2020-07-01 10:30:06,-13.10
,105,2020-07-01 10:30:06,-14.00
,107,2020-07-01 10:30:06,-16.65
,109,2020-07-01 10:30:06,-12.33
,108,2020-07-01 10:30:06,-15.27
,113,2020-07-01 10:30:06,-13.99
,110,2020-07-01 10:30:06,-15.57
,111,2020-07-01 10:30:06,-15.32
,112,2020-07-01 10:30:06,-17.98
,114,2020-07-01 10:30:06,-14.99
,115,2020-07-01 10:30:06,-16.76
,116,2020-07-01 10:30:06,-15.39
,117,2020-07-01 10:30:06,-14.10
,118,2020-07-01 10:30:06,-16.65
19,101,2020-07-01 10:31:37,-17.88
,102,2020-07-01 10:31:37,-15.88
,103,2020-07-01 10:31:37,-12.11
,104,2020-07-01 10:31:37,-14.60
,109,2020-07-01 10:31:37,-12.33
,105,2020-07-01 10:31:37,-14.10
,106,2020-07-01 10:31:37,-13.10
,107,2020-07-01 10:31:37,-16.65
,108,2020-07-01 10:31:37,-15.00
,110,2020-07-01 10:31:37,-14.92
,111,2020-07-01 10:31:37,-15.44
,112,2020-07-01 10:31:37,-16.00
,113,2020-07-01 10:31:37,-13.99
,114,2020-07-01 10:31:37,-15.38
,115,2020-07-01 10:31:37,-16.88
,116,2020-07-01 10:31:37,-15.39
,117,2020-07-01 10:31:37,-14.10
,118,2020-07-01 10:31:37,-16.65
20,101,2020-07-01 10:33:52,-17.98
,102,2020-07-01 10:33:52,-15.88
,103,2020-07-01 10:33:52,-12.11
,104,2020-07-01 10:33:52,-14.69
,105,2020-07-01 10:33:52,-14.10
,110,2020-07-01 10:33:52,-15.44
,106,2020-07-01 10:33:52,-13.22
,107,2020-07-01 10:33:52,-16.76
,108,2020-07-01 10:33:52,-14.81
,109,2020-07-01 10:33:52,-12.44
,111,2020-07-01 10:33:52,-15.44
,112,2020-07-01 10:33:52,-16.11
,113,2020-07-01 10:33:52,-12.00
,114,2020-07-01 10:33:52,-14.81
,115,2020-07-01 10:33:52,-16.88
,116,2020-07-01 10:33:52,-15.39
,117,2020-07-01 10:33:52,-14.22
,118,2020-07-01 10:33:52,-16.65
21,101,2020-07-01 10:35:23,-17.98
,102,2020-07-01 10:35:23,-15.98
,103,2020-07-01 10:35:23,-12.11
,104,2020-07-01 10:35:23,-14.72
,109,2020-07-01 10:35:23,-12.44
,105,2020-07-01 10:35:23,-14.10
,106,2020-07-01 10:35:23,-13.22
,107,2020-07-01 10:35:23,-16.88
,108,2020-07-01 10:35:23,-15.06
,110,2020-07-01 10:35:23,-14.99
,111,2020-07-01 10:35:23,-15.44
,112,2020-07-01 10:35:23,-16.11
,113,2020-07-01 10:35:23,-12.00
,114,2020-07-01 10:35:23,-15.09
,115,2020-07-01 10:35:23,-16.88
,116,2020-07-01 10:35:23,-15.39
,117,2020-07-01 10:35:23,-14.32
,118,2020-07-01 10:35:23,-16.76
22,101,2020-07-01 10:36:53,-16.00
,102,2020-07-01 10:36:53,-15.98
,103,2020-07-01 10:36:53,-12.22
